Time, Position x, Position y, Position z, Rotation x, Rotation y, Rotation z, Angular Velocity x, Angular Velocity y, Angular Velocity z, Velocity x, Velocity y, Velocity z, Throttle, Brake, Steering
0, -1.29, 0.4999985, -32.73, -6.854969E-09, 0.06975646, -1.396983E-09, 0, 0, 0, 0, -0.1962, 0, 0.06425682, 0, -0.02547389
0.02, -1.29, 0.4960745, -32.73, -6.854969E-09, 0.06975646, -1.396983E-09, 0, 0, 0, 0, -0.3924, 0, 0.07881413, 0, -0.02569112
0.0793583, -1.29, 0.4612621, -32.73, -6.854969E-09, 0.06975646, -1.396983E-09, 0, 0, 0, 0, -0.7848, 0, 0.07835194, 0, -0.02540658
0.0922767, -1.29, 0.448715, -32.73, -6.854969E-09, 0.06975646, -1.396983E-09, 0, 0, 0, 0, -0.981, 0, 0.06564318, 0, -0.02540828
0.1403419, -1.29, 0.3895898, -32.73, -6.854969E-09, 0.06975646, -1.396983E-09, 0, 0, 0, 0, -1.5696, 0, 0.07349951, 0, -0.02548894
0.213928, -1.29, 0.254119, -32.73, -6.854969E-09, 0.06975646, -1.396983E-09, 0, 0, 0, 0, -2.1582, 0, 0.06333245, 0, -0.02546644
0.259005, -1.289998, 0.1521854, -32.72991, -0.0001909044, 0.06975704, 8.690969E-06, -0.01997772, 6.19913E-05, 0.002313933, -0.0006942848, -2.196375, -0.002305946, 0.0624081, 0, -0.02546718
0.2735124, -1.289984, 0.1227388, -32.72977, -0.0004659341, 0.06975719, 2.285645E-05, -0.0389909, 1.900156E-05, 0.004760822, -0.0006936498, -2.017509, -0.003390356, 0.06448781, 0, -0.0254641
0.2900983, -1.289958, 0.09208803, -32.72953, -0.0008909792, 0.06975739, 4.525442E-05, -0.05861665, 3.147987E-05, 0.007238872, -0.0005649722, -1.739142, -0.003199538, 0.07835194, 0, -0.02546348
0.3075545, -1.289917, 0.06358217, -32.72918, -0.001451161, 0.06975754, 7.534538E-05, -0.07055759, 1.302863E-05, 0.008804292, -0.0002831696, -1.493988, -0.001924937, 0.06263927, 0, -0.02546324
0.3231038, -1.289872, 0.04131166, -32.72881, -0.002017915, 0.06975757, 0.0001062935, -0.08000213, 7.449567E-06, 0.01006606, 7.809402E-06, -1.185141, -6.212271E-05, 0.06425682, 0, -0.02546178
0.3410517, -1.289808, 0.02037551, -32.72831, -0.002742718, 0.0697575, 0.0001465075, -0.08437994, -4.650973E-06, 0.01072118, 0.0002363901, -0.8692118, 0.001725448, 0.07581022, 0, -0.0254622
0.3569877, -1.289744, 0.006526771, -32.72781, -0.003419382, 0.06975732, 0.0001848243, -0.08437994, -4.650973E-06, 0.01072118, 0.0002363901, -0.8692118, 0.001725448, 0.06287028, 0, -0.02546588
0.3746156, -1.289672, -0.004276511, -32.72724, -0.004163873, 0.06975699, 0.0002278612, -0.08382785, -1.522018E-05, 0.01077201, 0.0003637843, -0.5602891, 0.002988205, 0.06518099, 0, -0.02546441
0.3901381, -1.289609, -0.01003408, -32.72675, -0.004794293, 0.06975663, 0.0002651537, -0.0790301, -2.3632E-05, 0.01029374, 0.0003930613, -0.2707332, 0.003550828, 0.07673458, 0, -0.02546436
0.4078566, -1.289541, -0.01279121, -32.72622, -0.005466737, 0.06975614, 0.0003059368, -0.07083753, -2.867913E-05, 0.009377028, 0.0003488728, -0.01170965, 0.003458488, 0.06379464, 0, -0.02546416
0.4234398, -1.289486, -0.01220956, -32.72579, -0.006005018, 0.06975569, 0.0003395216, -0.06077583, -3.056408E-05, 0.008209446, 0.0002747086, 0.2091874, 0.002923864, 0.06541217, 0, -0.02546266
0.4413054, -1.289431, -0.008230155, -32.72537, -0.006544536, 0.06975515, 0.0003744621, -0.04986798, -3.084318E-05, 0.006922593, 0.0001925884, 0.3910827, 0.002171195, 0.07950731, 0, -0.02546186
0.4566966, -1.289391, -0.002207235, -32.72507, -0.00693107, 0.0697547, 0.0004008333, -0.04986798, -3.084318E-05, 0.006922593, 0.0001925884, 0.3910827, 0.002171195, 0.06471881, 0, -0.02546682
0.4745741, -1.289353, 0.006831951, -32.7248, -0.007284896, 0.06975421, 0.0004267066, -0.03688705, -3.040524E-05, 0.005360361, 0.0001070593, 0.5313355, 0.001358151, 0.06425682, 0, -0.02546485
0.4904272, -1.289329, 0.01627165, -32.72463, -0.007504154, 0.06975382, 0.0004447665, -0.02251689, -3.042441E-05, 0.003600342, 3.694736E-05, 0.6285881, 0.0006259519, 0.07904512, 0, -0.02546213
0.5068515, -1.289312, 0.02697934, -32.72453, -0.007639312, 0.06975346, 0.0004585729, -0.007616891, -2.811574E-05, 0.001742847, 1.093097E-05, 0.6843659, 0.0001699648, 0.06402563, 0, -0.02546347
0.5236679, -1.289304, 0.03855459, -32.7245, -0.00767733, 0.06975316, 0.0004672042, 0.00695237, -2.399965E-05, -0.0001055115, 3.451938E-05, 0.702457, 8.814647E-05, 0.06425682, 0, -0.02546452
0.540119, -1.289304, 0.05010847, -32.72454, -0.007619411, 0.06975294, 0.0004702778, 0.0204427, -1.802583E-05, -0.001853391, 9.810648E-05, 0.6881069, 0.0003629484, 0.07581022, 0, -0.02546331
0.5568518, -1.289313, 0.06162062, -32.72465, -0.007447715, 0.06975283, 0.0004667387, 0.0204427, -1.802583E-05, -0.001853391, 9.810648E-05, 0.6881069, 0.0003629484, 0.07257533, 0, -0.02546505
0.5733969, -1.289329, 0.0724567, -32.72482, -0.007198109, 0.0697528, 0.0004582702, 0.0322819, -1.115807E-05, -0.00342498, 0.000186825, 0.647337, 0.0009172708, 0.06402563, 0, -0.02546534
0.5900683, -1.289348, 0.08271591, -32.725, -0.006903019, 0.06975285, 0.000446966, 0.03714916, -2.855433E-06, -0.004082772, 0.0002032858, 0.5947069, 0.001428527, 0.07581022, 0, -0.02546185
0.6067398, -1.289369, 0.09218855, -32.7252, -0.006586789, 0.06975295, 0.0004341822, 0.03860671, 5.26505E-06, -0.004313861, 0.0002201388, 0.5295709, 0.001843937, 0.07627241, 0, -0.02546032
0.623545, -1.289391, 0.1007894, -32.7254, -0.006252653, 0.06975309, 0.0004199812, 0.04308493, 9.426333E-06, -0.005005911, 0.0003413293, 0.4461551, 0.00241751, 0.06495, 0, -0.02546296
0.6402758, -1.289414, 0.1082286, -32.72561, -0.005889189, 0.06975327, 0.000403263, 0.05035001, 1.53805E-05, -0.006138261, 0.0005020025, 0.365891, 0.003194495, 0.06333245, 0, -0.02546193
0.6579404, -1.289443, 0.1146884, -32.72586, -0.005441785, 0.06975355, 0.0003802014, 0.05035001, 1.53805E-05, -0.006138261, 0.0005020025, 0.365891, 0.003194495, 0.07858312, 0, -0.0254639
0.6735657, -1.289473, 0.1193247, -32.7261, -0.004999113, 0.06975383, 0.0003555084, 0.05720812, 2.152557E-05, -0.007252423, 0.0006183899, 0.2864496, 0.003973359, 0.06425682, 0, -0.02546541
0.6913825, -1.289509, 0.1234421, -32.72639, -0.004478718, 0.06975418, 0.0003251155, 0.05850447, 2.447445E-05, -0.007606121, 0.0005929162, 0.2001147, 0.00439602, 0.06333245, 0, -0.02546359
0.7066933, -1.289541, 0.1259517, -32.72663, -0.0040289, 0.06975447, 0.0002977556, 0.05818763, 2.509963E-05, -0.007738565, 0.0006086552, 0.1176912, 0.004632359, 0.07835194, 0, -0.0254638
0.7244807, -1.289578, 0.1277013, -32.72691, -0.003511595, 0.06975481, 0.0002650511, 0.05652185, 2.571328E-05, -0.007687771, 0.0006023236, 0.04157554, 0.004670613, 0.06679853, 0, -0.02546253
0.7402525, -1.289611, 0.1283378, -32.72715, -0.003063119, 0.06975511, 0.0002356708, 0.05342831, 2.5824E-05, -0.007439533, 0.0005656601, -0.02611583, 0.004493367, 0.06471881, 0, -0.02546304
0.7576821, -1.289647, 0.1278807, -32.7274, -0.002594115, 0.06975541, 0.0002034743, 0.05342831, 2.5824E-05, -0.007439533, 0.0005656601, -0.02611583, 0.004493367, 0.07604123, 0, -0.02546196
0.7737606, -1.289678, 0.1266676, -32.72761, -0.002193727, 0.06975567, 0.0001748117, 0.04876142, 2.433423E-05, -0.006962007, 0.0004964651, -0.08366883, 0.0040972, 0.06841607, 0, -0.02546261
0.7902771, -1.289708, 0.1248062, -32.72781, -0.001817711, 0.0697559, 0.0001467904, 0.0430121, 2.169275E-05, -0.006317531, 0.0004166534, -0.1302267, 0.003551099, 0.06495, 0, -0.02546196
