Time, Position x, Position y, Position z, Rotation x, Rotation y, Rotation z, Angular Velocity x, Angular Velocity y, Angular Velocity z, Velocity x, Velocity y, Velocity z, Throttle, Brake, Steering
0.906503, -1.289842, 0.1027089, -32.72854, -0.0004793024, 0.06975669, 1.912336E-05, 0.0008343601, -9.530394E-07, -0.0008672157, -3.940029E-05, -0.1984365, 3.144561E-05, 0.07719658, 0, -0.02352225
0.9380337, -1.289848, 0.09671304, -32.72852, -0.0005244355, 0.06975665, 1.077738E-05, -0.005682248, -5.081449E-06, 7.484001E-05, -8.329302E-05, -0.1839651, -0.000332851, 0.06102174, 0, -0.0235256
0.9709613, -1.289834, 0.09073497, -32.72836, -0.0007945376, 0.06975646, 1.923028E-05, -0.0167984, -1.232494E-05, 0.001787105, -8.976048E-05, -0.1891946, -0.0008858828, 0.07511704, 0, -0.0235232
1.004408, -1.289812, 0.08505249, -32.72816, -0.001134353, 0.06975622, 3.476104E-05, -0.02437573, -1.51094E-05, 0.003045716, -0.0001745554, -0.1415826, -0.001138191, 0.07188197, 0, -0.02352444
1.038664, -1.289778, 0.08070815, -32.72788, -0.001579925, 0.0697559, 6.049998E-05, -0.02707393, -1.587988E-05, 0.003537699, -0.0001778666, -0.1145324, -0.001190745, 0.06263927, 0, -0.02353001
1.072264, -1.289737, 0.07805295, -32.72758, -0.002073175, 0.06975555, 9.306824E-05, -0.02981795, -1.554802E-05, 0.004151997, -0.0001707518, -0.06144692, -0.001193553, 0.07581022, 0, -0.02352833
1.105274, -1.289694, 0.07675455, -32.72727, -0.002568478, 0.06975518, 0.0001286347, -0.02924293, -1.266507E-05, 0.004271072, -0.000153399, -0.01534775, -0.001113566, 0.0621771, 0, -0.02353278
1.138648, -1.289649, 0.07660504, -32.72697, -0.003049234, 0.06975487, 0.0001656794, -0.02806616, -1.075693E-05, 0.004187401, -0.000144794, 0.004002035, -0.001060132, 0.06749171, 0, -0.02353252
1.171214, -1.289609, 0.0774016, -32.72672, -0.003472874, 0.06975459, 0.0002005191, -0.02440363, -6.051887E-06, 0.003786921, -0.0001241288, 0.03385264, -0.000932614, 0.07511704, 0, -0.02352957
1.206322, -1.28957, 0.07891015, -32.72647, -0.003863541, 0.06975438, 0.0002345694, -0.01913771, -1.473723E-06, 0.003097841, -9.486291E-05, 0.05155298, -0.0007588085, 0.06333245, 0, -0.02352858
1.238113, -1.289541, 0.08063347, -32.7263, -0.004142009, 0.06975428, 0.0002604623, -0.01602184, 1.05812E-06, 0.002657605, -7.670914E-05, 0.05612071, -0.0006496884, 0.07581022, 0, -0.02353434
1.271223, -1.289519, 0.08254807, -32.72618, -0.004338538, 0.06975425, 0.0002803973, -0.009329394, 5.273518E-06, 0.001664875, -3.573483E-05, 0.05760784, -0.0003951387, 0.07673458, 0, -0.02353432
1.304441, -1.289501, 0.08462716, -32.72607, -0.004510934, 0.0697543, 0.0002974788, -0.008525327, 7.302672E-06, 0.00144303, -3.641138E-05, 0.06154771, -0.000377579, 0.06079074, 0, -0.02353162
