Velocity y,Velocity x,Rotation, Angular Velocity y,Steering transferred,Steering
-0.049746929,8.073010976,-0.028630945,-0.064239025,-0.131945888,-0.215998442
-0.045101637,8.099054433,-0.034746281,-0.058320607,-0.114717007,-0.187794369
-0.033966134,8.213367893,-0.040087041,-0.04899664,-0.086564315,-0.141707767
-0.02026139,8.386133897,-0.044309182,-0.035961424,-0.055161323,-0.09030035
-0.010281815,8.576112306,-0.047150935,-0.022231539,-0.032461295,-0.053139884
-0.004869678,8.759663947,-0.048816221,-0.012782028,-0.040388324,-0.066116612
-0.0085715,8.842285485,-0.049985672,-0.012775429,-0.074305867,-0.121640406
-0.018507974,8.861255447,-0.051869611,-0.025210742,-0.105543809,-0.172777633
-0.029646349,8.87730089,-0.055263823,-0.04071856,-0.110984615,-0.181684357
-0.032496282,8.893645055,-0.059708763,-0.045768195,-0.101533953,-0.166213407
-0.029542457,8.90975083,-0.064120599,-0.04234616,-0.098950409,-0.161984087
-0.028190977,8.909002768,-0.068224724,-0.040492379,-0.102509053,-0.167809669
-0.029449882,8.88486856,-0.07233882,-0.042139817,-0.110771238,-0.181335054
-0.032558893,8.860757064,-0.07678191,-0.046532905,-0.113098593,-0.185144988
-0.033494204,8.862584658,-0.081542653,-0.047562372,-0.101800879,-0.166650371
-0.029513235,8.864976528,-0.086039073,-0.042274477,-0.094660105,-0.15496076
-0.026735252,8.867463524,-0.090009825,-0.038209452,-0.09128425,-0.149434409
-0.024517588,8.869333785,-0.093687177,-0.035072285,-0.072549434,-0.118765085
-0.017887418,8.871237641,-0.096760349,-0.02631365,-0.030201763,-0.049440978
-0.006502677,8.873534743,-0.098556109,-0.010281098,0.042993433,0.070381234
0.009177141,8.875898286,-0.098455272,0.011794485,0.114501741,0.187441973
0.033057359,8.877627381,-0.095495742,0.045439686,0.169746474,0.277878867
0.061952159,8.878574769,-0.088728619,0.087077956,0.227517294,0.372451022
0.10110703,8.87846547,-0.077014953,0.143077673,0.288598861,0.472442947
0.153035683,8.875464756,-0.05869658,0.217048072,0.351038979,0.574658851
0.218835729,8.86783146,-0.031896183,0.311360608,0.417255284,0.683056459
0.297721151,8.853447472,0.005603411,0.426316608,0.455637352,0.745888784
0.349380526,8.836877286,0.053210937,0.506874141,0.442230758,0.723941882
0.335237856,8.835690583,0.105010752,0.511538945,0.414998123,0.679361435
0.313070471,8.832932332,0.152432124,0.445471297,0.405542528,0.663882409
0.286570357,8.835465636,0.194217719,0.410161736,0.398520679,0.652387481
0.267498754,8.838097548,0.233849402,0.367981442,0.359389796,0.58832933
0.205771749,8.837754037,0.268498761,0.331257861,0.311443871,0.509840752
0.155976519,8.831461035,0.298912119,0.279902998,0.282877929,0.46307765
0.127138379,8.829959288,0.3248931,0.250558508,0.284292555,0.465393426
0.119285306,8.830178955,0.349283121,0.237420987,0.287147949,0.470067771
0.14943675,8.821724901,0.371556017,0.208928473,0.290053847,0.474824792
0.147704682,8.820085746,0.394395459,0.242481065,0.310052234,0.50756261
0.170122917,8.818447126,0.419366291,0.254537877,0.330581122,0.541168871
0.195381477,8.815224989,0.446035231,0.276666107,0.331972219,0.543446128
0.196863057,8.813936247,0.474546128,0.285455198,0.299145314,0.489707733
0.167594184,8.815377709,0.501142577,0.246072534,0.245311315,0.401580243
0.12014862,8.818484668,0.522026516,0.17779848,0.167384452,0.274012183
0.065734257,8.822109722,0.535439177,0.098746244,0.034579282,0.056607077
0.013662578,8.82530014,0.540970569,0.023846689,-0.129177757,-0.211466948
-0.038971855,8.82593086,0.539206827,-0.052707461,-0.224812704,-0.368023547
-0.091366306,8.825527804,0.529337518,-0.128764924,-0.233194293,-0.3817444
-0.103702635,8.827001854,0.514888691,-0.148988875,-0.237338284,-0.388528209
-0.11030958,8.828100659,0.499278191,-0.162569295,-0.279276333,-0.457181755
-0.146877619,8.825773171,0.480787653,-0.210878234,-0.386479354,-0.632675557
-0.256215439,8.811249826,0.452107941,-0.364614071,-0.533499427,-0.873350784
-0.427485185,8.763839165,0.401637017,-0.616794298,-0.590226931,-0.966215009
-0.536049338,8.701945985,0.328410211,-0.79915235,-0.585353657,-0.958237347
-0.563209867,8.657773704,0.244326054,-0.864969303,-0.610865,-1
-0.586876515,8.610749817,0.154630322,-0.916666396,-0.610865,-1
-0.596726482,8.566272378,0.061730811,-0.935147093,-0.610865,-1
-0.590954156,8.527493685,-0.031906824,-0.929149301,-0.36234589,-0.593168524
-0.357025868,8.558241228,-0.107160042,-0.565734955,-0.130265335,-0.213247337
-0.082450981,8.579884732,-0.137221962,-0.145523145,-0.109751221,-0.179665263
-0.038076035,8.581959338,-0.144959375,-0.052345932,-0.117423849,-0.192225531
-0.03655128,8.583452139,-0.149677425,-0.045382744,-0.086917115,-0.142285308
-0.026423965,8.586942813,-0.153809546,-0.040909465,-0.06184099,-0.101235118
-0.025611268,8.59443899,-0.158102791,-0.040528174,-0.157630328,-0.258044459
-0.058917283,8.594445816,-0.162264442,-0.065677831,-0.349771977,-0.57258474
-0.189980591,8.587070126,-0.178464595,-0.255815327,-0.540093827,-0.884145968
-0.38544832,8.542967573,-0.218329232,-0.512802211,-0.610865,-1
-0.513959913,8.453805218,-0.284298579,-0.785892028,-0.610865,-1
-0.516951583,8.393452206,-0.373282146,-0.943191416,-0.610865,-1
-0.471869693,8.342384777,-0.471007932,-0.995299766,-0.610865,-1
-0.564492241,8.289214006,-0.566396027,-0.923761598,-0.610865,-1
-0.598790159,8.243693505,-0.659139974,-0.937052707,-0.610865,-1
-0.599470726,8.205991929,-0.752568997,-0.928195085,-0.492196791,-0.805737423
-0.429463506,8.225185862,-0.831925353,-0.645439227,-0.27695816,-0.453386853
-0.181570143,8.252209763,-0.873719994,-0.271015443,-0.114900599,-0.188094913
-0.053894956,8.258492529,-0.888055492,-0.074161753,-0.001358895,-0.002224543
-0.00704651,8.260847207,-0.89116715,-0.005345084,0.115558646,0.189172151
0.033149887,8.261384379,-0.888893484,0.046253082,0.215869879,0.353383938
0.086579398,8.260735564,-0.880294415,0.116607143,0.244788204,0.400723898
0.110680775,8.260434842,-0.866025965,0.151946413,0.203071289,0.332432352
0.086357564,8.263017031,-0.852218902,0.120880647,0.133292097,0.218202217
0.048631545,8.302838645,-0.843206192,0.068653736,0.08701104,0.142439066
0.026605887,8.370418259,-0.838383558,0.03700349,0.062757426,0.102735344
0.015459205,8.438229265,-0.835599934,0.02150006,0.01100393,0.018013685
0.00336471,8.474935913,-0.834371418,0.005326518,-0.047861874,-0.078350984
-0.009240295,8.476972089,-0.834835318,-0.01242544,-0.093901344,-0.153718651
-0.023572055,8.479184415,-0.83724705,-0.032996916,-0.11842897,-0.193870937
-0.03277162,8.480244172,-0.841472429,-0.046279949,-0.087411356,-0.143094393
-0.023134985,8.482048322,-0.845579214,-0.03382769,-0.024467229,-0.040053414
-0.006800338,8.484625762,-0.847595255,-0.010719368,0.028998782,0.04747167
0.004462749,8.494584301,-0.847671086,0.005896412,0.064891234,0.106228437
0.014142467,8.521654241,-0.846270005,0.019771664,0.090056649,0.147424797
0.023291967,8.567115708,-0.843550852,0.032819919,0.117670523,0.192629342
0.033392729,8.654218501,-0.839387354,0.048092648,0.130064186,0.212918052
0.03920157,8.751582846,-0.833943369,0.05724182,0.127370026,0.20850765
0.039014257,8.78454094,-0.828141318,0.058338699,0.138571645,0.226844957
0.043986675,8.787269761,-0.821980613,0.065602601,0.167239293,0.273774554
0.058499557,8.789013251,-0.814322424,0.086169106,0.202988757,0.332297246
0.079451944,8.798110145,-0.803941512,0.117282679,0.233409634,0.382096919
0.100928393,8.842175894,-0.790271314,0.149757487,0.257335584,0.421264247
0.120369932,8.876148395,-0.773511649,0.180334273,0.288015859,0.47148856
0.145573489,8.874944231,-0.753286221,0.218843539,0.316858617,0.518704815
0.170942331,8.871691688,-0.728973694,0.258706021,0.325159289,0.532293205
0.181215258,8.870181575,-0.701860007,0.274883839,0.307868278,0.503987424
0.166946413,8.870987178,-0.675255708,0.255697891,0.281676427,0.461110764
0.144597863,8.886915107,-0.651647756,0.223411999,0.277004982,0.453463502
0.1394117,8.918264583,-0.630170506,0.213038932,0.28718244,0.470124233
0.144769776,8.945110427,-0.608397465,0.22158899,0.289830765,0.474459602
0.19247322,8.946173079,-0.585818753,0.235829969,0.303606471,0.497010748
0.167046155,8.949127994,-0.560881203,0.259596352,0.342912439,0.561355519
0.204327802,8.944924589,-0.533107256,0.304868152,0.395345433,0.647189531
0.277337498,8.941455773,-0.496232418,0.407997506,0.446265315,0.730546545
0.417280618,8.927133694,-0.452274176,0.456216284,0.489169883,0.800782305
0.477404874,8.910906994,-0.403755481,0.529035967,0.51196433,0.838097337
0.472147034,8.887934011,-0.347960686,0.605306911,0.510190774,0.835193985
0.436488696,8.867758379,-0.285753232,0.640515199,0.506418101,0.829018033
0.406502303,8.847142529,-0.221274338,0.649272898,0.513869276,0.841215777
0.401497518,8.823305078,-0.15620778,0.655566668,0.529881142,0.867427569
0.441164061,8.787129198,-0.090321288,0.709428101,0.547141738,0.89568356
